# derived_by=tools/derive_q2b_candidates.py
# git_sha=e1a1d53ea9d7901ae430b320ec3144a092ca9078
# source=experiments/q2b_adapted/prereg.yaml md5=a7d25919e942f6bdc2894e16f1311c90
# source=experiments/q2b_adapted/limits.csv md5=7bdfbb4fd48f64ba03cb91f3318b6c2d
# python=3.13.2
# numpy=2.3.5
# scipy=1.16.3
# written=2026-09-22T22:28:38-04:00
class,omega,temperature_au,light_au,carbon_au,binding,in_limits_csv
algal,10,1.1945,70.0357,1.2119,temperature,yes
algal,15,1.1945,70.0357,1.3794,temperature,yes
algal,20,1.1945,70.0357,1.6178,temperature,yes
algal,25,1.1945,70.0357,1.9718,temperature,yes
algal,30,1.1945,70.0357,2.5289,temperature,yes
vascular,10,1.5581,12.7058,,temperature,no (gate B excluded)
vascular,15,1.5581,12.7058,,temperature,no (gate B excluded)
vascular,20,1.5581,12.7058,,temperature,no (gate B excluded)
vascular,25,1.5581,12.7058,1.2060,carbon,no (gate B excluded)
vascular,30,1.5581,12.7058,1.3920,carbon,no (gate B excluded)
